Kod;Kapanış (TL);Günlük Getiri (%);Haftalık Getiri (%);Aylık Getiri (%);Yıl İçi Getiri (%)
GOZDE;26,5;2,32;0,53;16,13;22,01
GRNYO;18,01;0,84;0,61;20,07;20,23
GRSEL;362;2,99;2,55;9,7;13,13
GRTHO;247,6;-2,04;15,7;-0,96;-13,88
GSDDE;10,3;4,15;3,62;0,1;0,29
GSDHO;5,2;5,69;0,97;14,54;13,79
GSRAY;1,2;3,45;0;4,35;3,45
GUBRF;518;-0,19;6,97;35,69;48,85
GUNDG;239;2,22;8,54;-6,73;-5,25
GWIND;27,08;3,2;3,28;8,76;21,22
GZNMI;48,98;8,6;7,65;15,63;-14,07
HALKB;45,1;3,87;3,82;9,89;22,62
HATEK;15,69;3,56;3,16;2,89;8,36
HATSN;42,44;-4,67;2,27;7,33;9,83
HDFGS;3,45;9,87;15,77;-14,6;9,52
HEDEF;69,4;9,98;36,21;16,35;73,07
HEKTS;3,3;3,77;0,92;12,24;7,84
HKTM;13,97;-1,62;21,06;23,52;28,17
HLGYO;4,56;2,01;-1,51;10,68;21,6
HOROZ;65,6;4,29;6,75;6,84;2,66
HRKET;86,95;5,59;6,23;20,1;23,95
HTTBT;44,98;0,94;-1,88;6,08;7,2
HUBVC;3,89;7,16;20,43;46,79;56,22
HUNER;3,39;3,99;2,73;9;9,71
HURGZ;5,61;0,54;-1,75;7,68;4,08
ICBCT;14,34;1,63;0,49;2,14;9,47
ICUGS;2,64;0,76;-1,86;-0,38;1,15
IDGYO;4,19;1,21;-1,41;10,26;15,11
IEYHO;77,5;0,45;1,77;11,11;16,45
IHAAS;43,48;-9,98;-38,54;6,46;5,79
IHEVA;2,39;3,02;0,42;7,66;7,66
IHGZT;1,57;1,95;0;1,29;0,64
IHLAS;2,3;0,88;-0,43;0,44;1,77
IHLGM;2,06;1,98;0;0,98;0,49
IHYAY;1,94;2,65;-1,02;0,52;-1,02
IMASM;4,48;2,52;-6,67;-7,25;-4,48
INDES;8,47;1,93;-1,4;13,39;7,76
INFO;4,3;3,12;-2,93;9,69;22,86
INGRM;429,5;0,76;0,82;4,12;4,5
INTEK;268;0,56;-0,74;2,19;-0,37
INTEM;397,5;3,25;6,28;44,28;44,02
INVEO;9,31;2,76;0,76;9,53;11,63
INVES;244,8;6,9;0,04;-30,45;-29,35
ISATR;4950000;0;0;0;0
ISBIR;83;-0,3;0;-6,69;-2,92
ISBTR;459997,5;0;4,54;2,01;3,36
ISCTR;16,98;2,97;0,83;17,51;20,51
ISDMR;45,72;5,15;12,28;22,77;29,67
ISFIN;20,28;1,4;-6,02;13,3;24,04
ISGSY;89,05;4,89;20,66;24,89;30,76
ISGYO;23,68;1,98;-0,92;9,94;12,76
ISKPL;11,22;0,99;-1,15;0,45;-3,61
ISKUR;3000000;0;0;-16,67;-16,67
ISMEN;47,8;2,71;0,55;16,08;20,65
ISSEN;7,56;1,75;-0,53;4,56;4,71
ISYAT;9,49;-0,11;4,06;11,65;9,08
IZENR;9,6;0,1;0,52;4,23;2,24
IZFAS;55,4;-1,07;2,03;3,36;-2,12
IZINV;65,6;1;0,15;-1,94;2,5
IZMDC;7,84;2,48;0,51;14,96;15,98
JANTS;19,49;0,93;0,26;-0,76;4,73
KAPLM;396;1,28;-0,94;32,77;32
KAREL;9,18;2;-0,43;1,32;9,29
KARSN;10,4;3,79;4,63;12,31;13,04
KARTN;83,65;4,43;4,63;5,29;7,8
KATMR;2,88;1,77;-0,35;-4,64;3,23
KAYSE;5,17;4,87;4,66;6,16;19,12
KBORU;18,35;3,32;12,23;29,23;26,55
KCAER;11,27;2,73;0,81;4,84;6,82
KCHOL;210,3;2,49;2,74;11,27;24,59
KENT;612;9,97;18,39;31,07;28,32
KERVN;2,05;0;-0,49;-3,76;-8,48
KFEIN;9,6;3,9;2,45;9,84;10,34
KGYO;7,11;-0,56;-0,42;32,16;41,92
KIMMR;15,75;2,21;-0,32;15,13;18,6
KLGYO;6,87;3,31;-6,4;-13,37;12,81
KLKIM;42;1,2;4,53;14,82;18,64
KLMSN;30;2,25;1,42;3,38;-4,7
KLNMA;9,2;0,33;0,11;-3,16;-7,07
KLRHO;576,5;2,04;2,49;44,13;88,24
KLSER;28,68;1,34;3,61;6,22;7,58
KLSYN;7,96;4,05;6,13;8,15;11,64
KLYPV;64,6;-2,12;4,03;12,54;18,1
KMPUR;15,83;3,26;-0,19;5,67;0,06
KNFRT;12,44;-0,72;4,54;8,36;-4,6
KOCMT;2,72;2,64;1,49;3,03;9,24
KONKA;16,19;3,19;6,3;5,4;3,19
KONTR;10,07;2,34;5,01;-0,79;-12,59
KONYA;4530;2,14;1,85;0,33;-1,04
KOPOL;5,95;-0,5;2,23;13,12;11,84
KORDS;55,1;2,51;1,85;10,38;13,7
KOTON;17,35;-3,34;2,42;8,44;11,22
KRDMA;29,22;3,47;4,36;13,96;22,36
KRDMB;33,78;2,36;1,93;32,06;47,77
KRDMD;30,2;2,65;3,28;9,58;19,56
KRGYO;3,13;1,29;4,33;4,68;9,82
KRONT;15,69;3,91;2,55;1,23;21,91
KRPLS;8,87;3,74;2,42;9,1;14,01
KRSTL;11,82;4,88;-0,76;16,8;26,15
KRTEK;26,74;1,67;0;7,13;8
KRVGD;3,06;3,38;1,32;4,44;10,87
KSTUR;3297,5;-0,3;-3,3;-5,58;12,35
KTLEV;37,66;4,26;0,97;20,55;75,65
KTSKR;77,8;2,64;10,59;16,03;3,73
KUTPO;111,4;2,39;5,89;2,48;6,5
